"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Abreu, Wilyer","677800","2026","1","51.8","1.4","0.8","0.3","2.5","36","56","29"
"Acuña Jr., Ronald","660670","2026","-8","31.3","-1.5","-1.5","0.7","-2.3","30.9","48","15"
"Adell, Jo","666176","2026","-6","33.9","-0.9","-1.6","0.1","-2.3","31.3","59","20"
"Antonacci, Sam","803011","2026","-5","42.9","-0.3","-0.7","0.2","-0.9","33.1","42","18"
"Arozarena, Randy","668227","2026","-7","34.5","-1.9","-0.4","0","-2.3","30.6","58","20"
"Beavers, Dylan","687637","2026","-9","32.6","-0.7","-0.8","-0.6","-2.1","31.4","43","14"
"Bellinger, Cody","641355","2026","2","61.1","1.7","-0.2","0.8","2.2","35.2","36","22"
"Benge, Carson","701807","2026","0","42.6","0.5","0.7","-0.4","0.8","35.1","94","40"
"Bleday, JJ","668709","2026","-2","35.2","0.5","-0.7","0.8","0.6","34.1","54","19"
"Bolte, Henry","703607","2026","4","61.2","1.1","0.3","-0.1","1.2","36.1","67","41"
"Butler, Lawrence","671732","2026","-8","25","-0.2","-0.6","0.4","-0.4","33.5","52","13"
"Buxton, Byron","621439","2026","1","52.9","-0.1","-1.6","0.7","-1","34","34","18"
"Caglianone, Jac","695506","2026","-5","35","-0.8","-1.3","0","-2.1","31.8","40","14"
"Caissie, Owen","683357","2026","-3","47.6","0.3","0.7","0","1","34","42","20"
"Carrigg, Cole","694249","2026","2","53.3","1.4","0.4","0.3","2","36.2","45","24"
"Carroll, Corbin","682998","2026","12","62.4","0.9","1.4","-0.7","1.6","35.2","85","53"
"Carter, Evan","694497","2026","7","69.5","0.8","-0.1","0.2","0.8","35.6","59","41"
"Chourio, Jackson","694192","2026","5","60.9","0.7","1.3","-0.1","1.9","36.1","46","28"
"Church, Nathan","701675","2026","4","53.3","0.4","0","0.6","1","35.3","60","32"
"Collins, Isaac","686555","2026","-3","35.6","0.3","1.5","-2","-0.2","33.5","59","21"
"Cowser, Colton","681297","2026","7","66","1.4","1.4","-1","1.7","36.5","50","33"
"Crawford, Justin","702222","2026","-3","39","-0.5","-1.4","0.1","-1.8","33.1","41","16"
"Crews, Dylan","686611","2026","4","55.8","0.6","1.2","-0.2","1.5","35","43","24"
"Crow-Armstrong, Pete","691718","2026","22","82.1","2.6","1.8","0","4.4","39.1","78","64"
"Cruz, Oneil","665833","2026","2","52.6","-0.3","0.2","0.1","0","34.9","38","20"
"DeLauter, Chase","800050","2026","1","54.5","1.1","0.5","0.8","2.4","35.3","33","18"
"DeLuca, Jonny","676356","2026","10","66","1.6","1.5","-0.6","2.5","36.6","53","35"
"Duran, Jarren","680776","2026","4","46.6","0.6","-1","0.8","0.5","34.6","58","27"
"Ewing, A.J.","805999","2026","8","74.5","1.4","0.9","-0.4","1.8","36.3","51","38"
"Frelick, Sal","686217","2026","-1","40.5","0.1","-0.5","-0.4","-0.9","32.7","42","17"
"Friedl, TJ","670770","2026","3","65.7","0.1","1.9","-0.8","1.3","35.8","35","23"
"Gilbert, Drew","687551","2026","5","57.7","1.2","1.8","-0.3","2.7","37.4","52","30"
"Greene, Riley","682985","2026","-1","41.9","-0.4","0.3","0","-0.2","32.7","43","18"
"Grisham, Trent","663757","2026","-1","46.3","0.1","2.2","-1.4","1","35.9","41","19"
"Happ, Ian","664023","2026","-1","40.7","0.3","1","-0.2","1","34.8","81","33"
"Harris II, Michael","671739","2026","10","70.3","1","1.8","-0.6","2.1","36.9","74","52"
"Hernández, Heriberto","681715","2026","0","40.9","1.1","0.6","-0.1","1.6","35.9","44","18"
"Hernández, Teoscar","606192","2026","-6","34.2","-1.3","-1.7","0.9","-2.1","31.2","38","13"
"Isbel, Kyle","664728","2026","5","54.2","1.4","2","-1.2","2.2","37.3","48","26"
"Johnston, Troy","687859","2026","-1","37.5","-1.6","4.6","-4","-1","32.4","40","15"
"Jones, Spencer","682987","2026","-3","51.6","0.2","0.4","-0.6","0","33.5","31","16"
"Keaschall, Luke","807712","2026","-4","38.5","0.1","-0.5","0.9","0.5","33.7","39","15"
"Kwan, Steven","680757","2026","5","62.1","0.2","-1","1","0.2","34.2","58","36"
"Langford, Wyatt","694671","2026","2","40","1.9","1.2","0","3.1","37.5","50","20"
"Larnach, Trevor","663616","2026","-3","40.7","-2.2","-1","0.8","-2.3","31.3","54","22"
"Lee, Jung Hoo","808982","2026","-5","42.3","0","0.2","0.1","0.2","33.6","78","33"
"Lile, Daylen","695734","2026","-2","37.7","0","-1","0.4","-0.6","33.6","61","23"
"Lowe, Josh","666139","2026","1","37.5","0","-0.4","0.7","0.2","34.6","32","12"
"Lukes, Nathan","664770","2026","-1","42.5","-0.6","-0.1","0.2","-0.6","32.8","40","17"
"Mangum, Jake","663968","2026","0","50","1","0.1","0.1","1.2","35.2","58","29"
"Marsee, Jakob","805300","2026","7","60.3","0.4","1.6","-1.2","0.7","35.2","63","38"
"Marsh, Brandon","669016","2026","-5","40.4","-0.4","-1.1","0.6","-0.9","32","52","21"
"Martin, Austin","668885","2026","2","53.3","0.7","-0.4","0.7","1","34.3","45","24"
"Martínez, Angel","682657","2026","-1","45.5","-1.1","0","0.3","-0.8","32.7","44","20"
"McCarthy, Jake","664983","2026","-1","39.7","0.4","1.8","-1.4","0.8","35.2","68","27"
"Merrill, Jackson","701538","2026","4","53.9","0.7","0","-0.3","0.4","35","76","41"
"Mitchell, Garrett","669003","2026","5","52.2","2.1","-0.6","0.5","2","36.6","67","35"
"Moniak, Mickey","666160","2026","-1","48.5","-0.2","-0.4","0.4","-0.2","33","33","16"
"Montgomery, Braden","695731","2026","-2","42.2","0","0.2","-0.2","0.1","32.8","45","19"
"Mullins, Cedric","656775","2026","8","62.9","0.6","3.1","-1.8","1.9","36.8","62","39"
"Myers, Dane","667472","2026","0","49","0.5","1.1","-0.9","0.7","35.4","49","24"
"Nimmo, Brandon","607043","2026","-3","39.6","-0.6","-1.1","0.6","-1.1","33.1","48","19"
"O'Neill, Tyler","641933","2026","-1","43.8","-0.2","-1","0.8","-0.5","33","32","14"
"Pages, Andy","681624","2026","8","59.5","1.2","0.6","-0.2","1.7","36.3","74","44"
"Peters, Tristan","671976","2026","8","56.1","1.8","0.2","0.6","2.7","36.9","57","32"
"Rafaela, Ceddanne","678882","2026","15","63.9","1.8","2","-0.4","3.3","37.6","72","46"
"Ramos, Heliot","671218","2026","-7","25.8","0.5","0.7","-1.1","0.1","32.8","31","8"
"Reynolds, Bryan","668804","2026","-3","47.2","-1.1","-0.6","0.7","-1","32.8","53","25"
"Rodríguez, Julio","677594","2026","-1","42.1","0.9","-1.1","0.5","0.4","34.8","57","24"
"Scott II, Victor","687363","2026","3","58.3","0.6","-0.6","0.7","0.7","35.4","36","21"
"Simpson, Chandler","802415","2026","8","65.9","1","4.9","-3.3","2.7","36.3","82","54"
"Smith, Cam","701358","2026","7","58.4","0.8","0","0.2","0.9","34.7","77","45"
"Soderstrom, Tyler","691016","2026","-7","34.5","0.1","-0.1","0.3","0.3","33.6","58","20"
