"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Soto, Juan","665742","2026","-4","30.6","-0.8","-0.5","0.4","-0.9","32.6","36","11"
"Straw, Myles","664702","2026","2","51.1","0.5","0.3","0.1","0.9","35.1","45","23"
"Suzuki, Seiya","673548","2026","4","57.4","0.9","2","-0.5","2.4","36.6","54","31"
"Tatis Jr., Fernando","665487","2026","1","48.6","1","-0.8","0.1","0.4","34","35","17"
"Taveras, Leody","665750","2026","-4","36.6","-0.1","-0.2","0","-0.3","33.7","71","26"
"Thomas, Lane","657041","2026","-6","42.1","-0.8","-1.8","0.8","-1.8","32.9","38","16"
"Trammell, Taylor","666211","2026","-1","40.6","0.4","0.2","0.1","0.7","34.2","32","13"
"Trout, Mike","545361","2026","-6","43.1","0","-1.8","0.7","-1.1","33.4","51","22"
"Tucker, Kyle","663656","2026","-7","34","-1.8","-0.7","0.3","-2.2","30.7","50","17"
"Varsho, Daulton","662139","2026","6","58.6","0.5","0.4","0.1","1","35.2","70","41"
"Vierling, Matt","663837","2026","1","59.4","-0.3","-1","0.3","-1","33.3","32","19"
"Waldschmidt, Ryan","814439","2026","3","54.2","-0.3","-0.4","0","-0.8","33.3","48","26"
"Walker, Jordan","691023","2026","-9","36","-1.1","-1","0.5","-1.6","31.4","75","27"
"Ward, Taylor","621493","2026","-2","37.5","-0.7","-0.1","0.5","-0.3","32.6","40","15"
"Wood, James","695578","2026","-2","37","-1","1","-1","-1.1","31.7","46","17"
"Yastrzemski, Mike","573262","2026","-1","41.3","0.3","-0.2","0.2","0.3","34.6","46","19"
"Young, Jacob","696285","2026","9","60.6","1.4","5.1","-3.5","3","37.5","66","40"
