"player_id","player_name","team_name","start_year","end_year","pitches","catcher_blocking_runs","blocks_above_average","n_pbwp","x_pbwp","blocks_above_average_per_game","freq_pbwp_easy","freq_pbwp_medium","freq_pbwp_tough","diff_pbwp_easy","diff_pbwp_medium","diff_pbwp_tough"
672386,"Kirk, Alejandro","TOR",2026,,1762,3,13,7,20.459985979785785,0.3055615432414479,0.9341657207718499,0.04880817253121449,0.0170261066969353,4.098888110419259,5.39653700295611,3.964560866410406
663728,"Raleigh, Cal","SEA",2026,,2320,3,11,12,22.900588582251135,0.18794118245260566,0.9504310344827591,0.039224137931034506,0.01034482758620689,4.192464351087719,5.522882190474166,1.1852420406892508
663886,"Stephenson, Tyler","CIN",2026,,3787,3,11,22,33.17165360657338,0.11800003809425241,0.9548455241616057,0.035648270398732515,0.009506205439662,7.133040991709387,5.616871960867638,-1.578259346003667
693307,"Dingler, Dillon","DET",2026,,3193,2,9,17,26.47545747927926,0.11870288104327331,0.9542749765111183,0.03726902599436266,0.008455997494519264,6.196499033595135,1.2982557102290957,1.980702735455045
669224,"Wells, Austin","NYY",2026,,2762,1,6,17,22.586000384798602,0.08089790564516397,0.9583635047067345,0.031860970311368586,0.009775524981897175,5.098062927378175,1.6037598161394564,-1.115822358719053
643376,"Jansen, Danny","TEX",2026,,1440,1,5,10,14.569567448601129,0.1269324291278093,0.9458333333333326,0.040972222222222215,0.013194444444444429,3.8159714378420317,-0.1894014057991985,0.9429974165582997
666023,"Fermin, Freddy","SD",2026,,2083,1,5,9,14.434903862443672,0.10436685285537525,0.9635141622659623,0.03216514642342775,0.004320691310609701,4.58446603715099,2.077137859365584,-1.2267000340729073
608348,"Kelly, Carson","CHC",2026,,2390,1,5,15,19.91086216194496,0.08219016170619194,0.9610878661087867,0.027196652719665284,0.011715481171548114,-0.09974264045145187,5.536748633942557,-0.526143831546135
642851,"Wynns, Austin","TEX",2026,,874,1,4,3,6.627106014286809,0.16600027525340105,0.9656750572082381,0.02860411899313502,0.005720823798627,2.571855198337663,1.2444873556828469,-0.1892365397336965
624431,"Trevino, Jose","CIN",2026,,1048,1,4,10,14.267102140686731,0.16286649391934044,0.9274809160305347,0.0534351145038168,0.019083969465648845,2.1315961407451613,3.227108750215799,-1.0916027502742423
641555,"Escarra, J.C.","NYY",2026,,1004,1,4,6,9.641431868789681,0.145076966884051,0.9631474103585659,0.025896414342629463,0.010956175298804787,-0.09758702248374349,2.4046016203107943,1.3344172709626314
665561,"Marchán, Rafael","PHI",2026,,1210,1,4,3,7.250606937541365,0.14051593181954924,0.9702479338842973,0.028099173553719013,0.0016528925619834723,3.979601257949247,-0.04620310498490246,0.3172087845770235
620443,"Torrens, Luis","NYM",2026,,2375,1,4,13,17.2536601400099,0.07164059183174568,0.965052631578947,0.027789473684210527,0.007157894736842106,1.267991568718148,2.815136125919176,0.17053244537257506
672515,"Moreno, Gabriel","AZ",2026,,2443,1,4,14,17.708279672659334,0.060716818217917516,0.9615227179697092,0.031927957429390114,0.006549324600900534,3.0930446606866586,0.8644575207845338,-0.24922250881188143
665966,"Narváez, Carlos","BAL",2026,,2556,1,4,17,20.79404138933624,0.05937466962967507,0.9600938967136151,0.03129890453834115,0.008607198748043823,1.0980582520231401,2.020959428969614,0.6750237083434794
665861,"Rivero, Sebastián","LAA",2026,,802,1,3,5,8.473783662687056,0.17325604302678585,0.9401496259351624,0.048628428927680795,0.011221945137157104,2.7311867098151845,0.4862194713638699,0.2563774815079968
669257,"Smith, Will","LAD",2026,,1450,1,3,10,13.00319346952242,0.08284671640061886,0.9579310344827585,0.031034482758620707,0.01103448275862068,1.2884781748599208,1.0442314281211647,0.6704838665413476
668939,"Rutschman, Adley","BOS",2026,,2101,1,3,19,21.900668640843595,0.055224533857088906,0.9504997620180864,0.03522132317943838,0.014278914802475015,0.2629713525071765,-0.07094580606704047,2.7086430944034547
691788,"Mack, Joe","MIA",2026,,2388,1,3,20,23.12057379871086,0.05227091790135452,0.9476549413735345,0.03685092127303182,0.015494137353433848,0.7661728204064414,2.836341433902881,-0.48194045559846377
680777,"Jeffers, Ryan","MIN",2026,,1981,1,3,15,17.528166957892424,0.05104829798874146,0.9530540131246844,0.03432609793033825,0.012619888944977274,2.16502657831824,0.7080661874118571,-0.34492580783767757
605170,"Caratini, Victor","MIN",2026,,2468,1,3,13,15.94555196458904,0.04773990218134572,0.969205834683954,0.023095623987034047,0.00769854132901135,1.5641792162612345,2.118919434128204,-0.7375466858004094
694212,"Basallo, Samuel","BAL",2026,,1668,1,2,15,17.145392584328384,0.05144826341315089,0.9424460431654677,0.04616306954436447,0.011390887290167873,1.036894660267647,2.8277851333329145,-1.719287209272172
701852,"Cavanaugh, Drew","SF",2026,,941,0,1,9,10.137891336325948,0.04836945106592785,0.9458023379383629,0.03825717321997877,0.015940488841657805,-1.3349032365814133,2.0754770763633026,0.39731749654406423
663698,"Bart, Joey","CWS",2026,,1471,0,1,7,7.913547908742868,0.02484154748451021,0.9768864717878997,0.0203942895989123,0.0027192386131883097,1.2276581393618637,0.7337160944697468,-1.047826325088747
657136,"Wong, Connor","BOS",2026,,1636,0,1,12,12.979522336420272,0.023949201379468935,0.9584352078239605,0.03300733496332516,0.008557457212713948,-2.5397478131527453,1.794937807499938,1.7243323420730847
543309,"Higashioka, Kyle","TEX",2026,,1645,0,1,15,15.553993918361275,0.01347097673826797,0.9544072948328282,0.03404255319148939,0.011550151975683896,0.21688819245182017,-1.2150980231100525,1.5522037490195015
640902,"Pereda, Jhonny","SEA",2026,,736,0,0,7,7.192828617266252,0.010479816155774493,0.956521739130435,0.035326086956521736,0.008152173913043487,0.766544116749958,-0.8765042949322707,0.3027887954485624
689414,"Hicks, Liam","TB",2026,,1399,0,0,12,11.924467933145223,-0.0021596016255832845,0.9549678341672623,0.037169406719085085,0.007862759113652607,1.2234986029204458,0.5817090042240306,-1.8807396739992512
664954,"Sullivan, Brett","COL",2026,,1601,0,0,11,10.857575332801943,-0.0035583926845235343,0.9637726420986882,0.03060587133041846,0.005621486570893194,-1.0828352279930282,1.099564406776842,-0.15915384598186763
623168,"Heineman, Tyler","LAA",2026,,1699,0,0,13,12.766968474612087,-0.005486321963223422,0.9605650382577989,0.032371983519717484,0.007062978222483819,-2.352633582039655,0.563073411110261,1.5565286455414773
543510,"McCann, James","AZ",2026,,1094,0,0,7,6.659204960495828,-0.012460513327392014,0.970749542961609,0.023765996343692863,0.005484460694698356,0.8625866296302394,1.1128094476479937,-2.316191116782406
660688,"Ruiz, Keibert","WSH",2026,,2878,0,-1,24,23.401259805783504,-0.0083216149300414,0.9551772063933295,0.036136205698401674,0.008686587908269629,2.830754872115901,-0.9364915578985356,-2.493003508433846
663743,"Fortes, Nick","TB",2026,,2323,0,-1,21,20.411177767668082,-0.010138996682426767,0.9582436504520013,0.03185535944898838,0.009900990099009901,2.7182051982117503,0.46100486546039665,-3.7680322960040806
686948,"Baldwin, Drake","ATL",2026,,2108,0,-1,15,14.454592236362178,-0.010349293427662908,0.9629981024667936,0.032732447817836796,0.004269449715370018,-0.25568903987216685,-1.135174004755586,0.8454552809899184
678218,"Valenzuela, Brandon","TOR",2026,,2298,0,-1,25,24.32032447142911,-0.011830731567813644,0.9403829416884251,0.04569190600522193,0.013925152306353359,1.4640365979848189,-0.8184998351517223,-1.3252122914039846
671056,"Herrera, Iván","STL",2026,,1728,0,-1,18,17.24935976219989,-0.017375931430558322,0.9438657407407409,0.044560185185185175,0.011574074074074073,2.7324484089521004,-1.2729249127135327,-2.210163734038683
686780,"Pagés, Pedro","STL",2026,,2211,0,-1,21,19.911918775089017,-0.01968487064515574,0.9466304839439169,0.042514699231117184,0.010854816824966085,1.5549260800947873,-1.2678314553503707,-1.3751758496554018
669134,"Campusano, Luis","SD",2026,,1570,0,-1,13,12.139129710821226,-0.02193300099818534,0.9649681528662423,0.02675159235668789,0.00828025477707006,-1.6107878378595,0.48846915993348133,0.2614483887472444
666310,"Naylor, Bo","CLE",2026,,943,0,-1,8,7.209173567834864,-0.03354512967826656,0.9554612937433725,0.03711558854718981,0.007423117709437967,-0.11198618064165733,-1.14459181014318,0.46575155861970674
641598,"Garver, Mitch","SEA",2026,,1167,0,-1,11,9.535550595684592,-0.050195352333004616,0.9640102827763499,0.02227934875749787,0.013710368466152523,-1.251154380674476,0.4509700920244433,-0.6642651156653764
592663,"Realmuto, J.T.","PHI",2026,,3423,0,-2,26,24.030576814041385,-0.023014001588765674,0.9678644463920529,0.024832018697049388,0.007303534910896875,3.863563909801846,-1.4874263918473876,-4.345560703913086
680779,"Davis, Henry","PIT",2026,,2580,0,-2,21,19.473707580901603,-0.023663448358114375,0.9662790697674417,0.024418604651162797,0.009302325581395354,-0.3794963506081788,-0.3791013208040722,-0.7676947476861306
696100,"Goodman, Hunter","COL",2026,,3120,0,-2,28,26.115688758668547,-0.02415783642732585,0.9554487179487182,0.035897435897435895,0.008653846153846163,0.10526026785554214,0.9688985441746197,-2.958470053361583
669127,"Langeliers, Shea","ATH",2026,,3231,-1,-2,25,22.549067306741456,-0.030342713627465847,0.9662643144537297,0.025069637883008363,0.008666047663262144,-0.6616844313908421,-0.19447127219721883,-1.5947769896704913
691011,"Romo, Drew","CWS",2026,,1840,0,-2,18,16.463150525297852,-0.033409771189177304,0.9538043478260871,0.03586956521739135,0.010326086956521738,-1.9849357885542571,0.4827288768662086,-0.034642563014107286
660710,"Durán, Rodolfo","SD",2026,,1027,0,-2,10,8.413072262670077,-0.0618082857772121,0.9571567672833484,0.03505355404089583,0.007789678675754631,0.13668698840165247,-0.7470037020337685,-0.9766110236978063
645305,"Sánchez, Ali","NYY",2026,,851,0,-2,8,6.339332360272449,-0.07805723335969708,0.9576968272620454,0.034077555816686235,0.008225616921269089,-0.25488809071910407,2.2399048544186613,-3.6456844034271114
676439,"Feduccia, Hunter","LAD",2026,,1770,-1,-3,15,12.329475724028716,-0.060350831095396275,0.9604519774011296,0.0327683615819209,0.00677966101694915,-2.8770017906676353,1.9445580020650197,-1.738080487368673
595978,"Hedges, Austin","CLE",2026,,1942,-1,-3,19,16.062732745408585,-0.060499840465322655,0.9546858908341921,0.03707518022657054,0.008238928939237902,-0.0669833307603733,-2.7370203665143564,-0.1332635573166837
691740,"Susac, Daniel","SF",2026,,1665,-1,-3,19,16.432248863252276,-0.061687714996942276,0.9567567567567563,0.029429429429429416,0.013813813813813816,1.1394836375527104,-0.8192188721358228,-2.8880159021646064
687221,"Rushing, Dalton","LAD",2026,,1873,-1,-3,20,17.009544938997827,-0.06386449676459482,0.9599572877736251,0.03043246129204487,0.009610250934329958,-3.408141816544656,-2.431880996603247,2.8495677521457474
553869,"Díaz, Elias","TEX",2026,,1766,-1,-3,18,15.140281894528496,-0.06477277702087215,0.9524348810872022,0.036806342015855024,0.010758776896942246,0.7083032554273444,-3.4434712264373846,-0.1245501344614619
682848,"Rodríguez, Endy","PIT",2026,,1525,-1,-3,18,15.229148650326868,-0.07267806818814783,0.9468852459016386,0.04393442622950818,0.009180327868852468,2.5690460231407273,-3.876086187161974,-1.4638111856518923
