"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Goldschmidt, Paul","502671","NA","3","First Baseman","298","298","0","0","0","0","0","0","0","0","70.5","66.1",,,,,,,,,"66.1"
"Freeman, Freddie","518692","NA","3","First Baseman","639","639","0","0","0","0","0","0","0","0","84","79.4",,,,,,,,,"79.4"
"Vargas, Ildemaro","545121","NA","3","First Baseman","426","211","196","5","14","0","0","0","215","0","79.7","73.9","73.1",,,,,,"75.6",,"75.6"
"Harper, Bryce","547180","NA","3","First Baseman","279","256","0","0","0","0","0","23","0","23","93.7","85.6",,,,,,,,,"85.6"
"Walker, Christian","572233","NA","3","First Baseman","366","366","0","0","0","0","0","0","0","0","73.1","72.3",,,,,,,,,"72.3"
"Contreras, Willson","575929","NA","3","First Baseman","504","504","0","0","0","0","0","0","0","0","86.6","84.3",,,,,,,,,"84.3"
"Olson, Matt","621566","NA","3","First Baseman","611","611","0","0","0","0","0","0","0","0","87.8","81.8",,,,,,,,,"81.8"
"Alonso, Pete","624413","NA","3","First Baseman","565","565","0","0","0","0","0","0","0","0","76.8","74.2",,,,,,,,,"74.2"
"Bauers, Jake","641343","NA","3","First Baseman","329","271","0","0","0","29","0","29","0","58","92.6","78.4",,,,,,,,"85","85"
"Devers, Rafael","646240","NA","3","First Baseman","497","497","0","0","0","0","0","0","0","0","82.6","80.2",,,,,,,,,"80.2"
"Naylor, Josh","647304","NA","3","First Baseman","468","468","0","0","0","0","0","0","0","0","82.6","81.1",,,,,,,,,"81.1"
"Hoskins, Rhys","656555","NA","3","First Baseman","233","233","0","0","0","0","0","0","0","0","73","72.4",,,,,,,,,"72.4"
"Sheets, Gavin","657757","NA","3","First Baseman","241","180","0","0","0","54","0","7","0","61","93.1","76.6",,,,"88.9",,,,"89.3","89.3"
"France, Ty","664034","NA","3","First Baseman","394","390","0","4","0","0","0","0","4","0","77.2","73.9",,,,,,,,,"73.9"
"Clemens, Kody","665019","NA","3","First Baseman","412","148","168","0","0","20","17","59","168","96","87.9","80.5","75.2",,,,,"84.1","75.2","85","85"
"Guerrero Jr., Vladimir","665489","NA","3","First Baseman","485","485","0","0","0","0","0","0","0","0","85.5","79.1",,,,,,,,,"79.1"
"Aranda, Jonathan","666018","NA","3","First Baseman","355","355","0","0","0","0","0","0","0","0","82.5","81",,,,,,,,,"81"
"Steer, Spencer","668715","NA","3","First Baseman","269","101","51","0","0","61","2","54","51","117","91.3","69.5",,,,"83.5",,"86.8",,"86.4","86.4"
"Vientos, Mark","668901","NA","3","First Baseman","270","267","0","3","0","0","0","0","3","0","85.4","79.2",,,,,,,,,"79.2"
