"id","name","pitches","rv_tot","pct_tot","rv_11","pct_11","rv_12","pct_12","rv_13","pct_13","rv_14","pct_14","rv_16","pct_16","rv_17","pct_17","rv_18","pct_18","rv_19","pct_19"
543877,"Vázquez, Christian",4701,3.522806649184298,0.4718640093786635,1,0.25157232704402516,2,0.6033755274261603,1,0.2911392405063291,2,0.5211267605633803,2,0.6326530612244898,-1,0.1919191919191919,-2,0.5251572327044025,0,0.2545454545454545
666023,"Fermin, Freddy",4288,1.7976555854774798,0.4696873005743459,0,0.1953125,-1,0.5078534031413613,0,0.25301204819277107,1,0.5517241379310345,1,0.65625,1,0.32222222222222224,0,0.5209580838323353,1,0.25153374233128833
691788,"Mack, Joe",4656,4.258137124755654,0.5,1,0.27218934911242604,2,0.7142857142857143,0,0.30434782608695654,0,0.5631868131868132,0,0.5660377358490566,0,0.2692307692307692,0,0.5498652291105122,1,0.26582278481012656
660688,"Ruiz, Keibert",5389,1.278711563839083,0.49019607843137253,-1,0.14666666666666667,-1,0.6270491803278688,0,0.26,-1,0.5172413793103449,3,0.6658227848101266,0,0.29927007299270075,1,0.5746268656716418,1,0.27699530516431925
678218,"Valenzuela, Brandon",4316,7.909549746782282,0.496684350132626,0,0.2903225806451613,-1,0.5863874345549738,1,0.3291139240506329,1,0.4793650793650794,1,0.6401515151515151,1,0.3161764705882353,3,0.6212624584717608,1,0.26356589147286824
592663,"Realmuto, J.T.",6461,0.5397490415738553,0.47068891741548996,0,0.2550335570469799,0,0.6183206106870229,-1,0.125,4,0.5867237687366167,-3,0.5306666666666666,2,0.35833333333333334,-2,0.5504950495049505,-1,0.22660098522167488
686452,"Millas, Drew",3352,4.063224179695108,0.4970954356846473,0,0.21348314606741572,0,0.5705521472392638,0,0.2857142857142857,0,0.525,1,0.6467889908256881,1,0.313953488372093,1,0.5851851851851851,1,0.3252032520325203
657136,"Wong, Connor",3249,-5.621856995116811,0.4339622641509434,0,0.2236842105263158,-2,0.5159235668789809,-1,0.12359550561797752,-2,0.4956140350877193,0,0.5758928571428571,0,0.30434782608695654,0,0.5367647058823529,0,0.20149253731343283
689414,"Hicks, Liam",2762,-0.2774811633792995,0.48272357723577236,0,0.2191780821917808,1,0.6271186440677966,1,0.2857142857142857,-1,0.5307262569832403,0,0.631578947368421,0,0.25,0,0.5572139303482587,0,0.25252525252525254
676439,"Feduccia, Hunter",3643,3.744286371751238,0.4715447154471545,1,0.1941747572815534,1,0.6336633663366337,0,0.2087912087912088,1,0.5869565217391305,-1,0.5639097744360902,1,0.35051546391752575,1,0.5140562248995983,0,0.20869565217391303
620443,"Torrens, Luis",4332,5.1715728464319755,0.4836683417085427,1,0.21875,0,0.6261261261261262,0,0.20588235294117646,3,0.5705882352941176,-1,0.5793103448275863,1,0.3305785123966942,1,0.5783582089552238,-1,0.2066115702479339
686780,"Pagés, Pedro",3966,2.9427554305058,0.48091603053435117,0,0.16981132075471697,-1,0.5525114155251142,0,0.1794871794871795,-1,0.49557522123893805,2,0.6644067796610169,1,0.35353535353535354,2,0.5925925925925926,0,0.25
672515,"Moreno, Gabriel",5006,3.017347699173164,0.48006644518272423,1,0.20689655172413793,0,0.6244343891402715,0,0.2222222222222222,0,0.5301587301587302,0,0.622356495468278,1,0.2898550724637681,2,0.5699745547073791,0,0.24175824175824176
694212,"Basallo, Samuel",3216,-4.2391956203108245,0.4429184549356223,0,0.18181818181818182,0,0.6065573770491803,0,0.2236842105263158,-2,0.4732142857142857,1,0.6666666666666666,0,0.2638888888888889,-2,0.42592592592592593,0,0.21296296296296297
671056,"Herrera, Iván",3506,-1.184051986819707,0.47268408551068886,0,0.19148936170212766,-2,0.5401785714285714,-1,0.23255813953488372,-1,0.5384615384615384,0,0.611353711790393,0,0.2716049382716049,2,0.6070038910505836,0,0.2
681351,"O'Hoppe, Logan",5465,-10.671647239334707,0.44537815126050423,-2,0.1513157894736842,-3,0.5829596412556054,0,0.3218390804597701,-2,0.47607655502392343,-3,0.5625,0,0.26380368098159507,-1,0.5563218390804597,-1,0.24888888888888888
682626,"Alvarez, Francisco",4617,-0.28984587002255624,0.4674185463659148,0,0.16666666666666666,0,0.5502392344497608,0,0.22549019607843138,0,0.5177304964539007,0,0.6190476190476191,0,0.25961538461538464,1,0.5789473684210527,0,0.2986111111111111
663728,"Raleigh, Cal",4590,-1.0066743084774423,0.4632009345794392,1,0.2302158273381295,0,0.5990783410138248,0,0.2857142857142857,1,0.5573770491803278,-2,0.5232198142414861,0,0.28846153846153844,0,0.5614617940199336,-1,0.19298245614035087
699625,"Crooks, Jimmy",2057,3.327179759915477,0.5074024226110363,0,0.20588235294117646,0,0.6666666666666666,1,0.42,0,0.49166666666666664,0,0.6282051282051282,0,0.20408163265306123,1,0.631578947368421,1,0.3484848484848485
660710,"Durán, Rodolfo",2041,-1.1324349820285113,0.4489003880983182,0,0.15517241379310345,-1,0.5148514851485149,0,0.25,-1,0.5179856115107914,0,0.5555555555555556,1,0.35714285714285715,1,0.5637583892617449,-1,0.1527777777777778
693307,"Dingler, Dillon",6114,6.440402774262294,0.49336188436830836,0,0.26436781609195403,2,0.6131147540983607,0,0.2808219178082192,2,0.5548523206751055,0,0.5945945945945946,1,0.3054187192118227,1,0.6018306636155606,0,0.25396825396825395
596142,"Sánchez, Gary",2090,-1.5768792627306034,0.4671916010498688,0,0.2857142857142857,0,0.6597938144329897,0,0.22916666666666666,0,0.506578947368421,0,0.5785714285714286,0,0.24,0,0.55,-1,0.13636363636363635
680779,"Davis, Henry",5094,-0.05619633086462156,0.48845947396672035,-1,0.19047619047619047,1,0.6180555555555556,0,0.24675324675324675,-1,0.5405405405405406,1,0.6410256410256411,-1,0.21568627450980393,-1,0.5882352941176471,1,0.25925925925925924
663743,"Fortes, Nick",4621,-1.1150748922253801,0.48928571428571427,-1,0.14393939393939395,-2,0.5972222222222222,-2,0.2,3,0.6056782334384858,-3,0.5338345864661654,1,0.3602941176470588,3,0.6,1,0.28125
669127,"Langeliers, Shea",5774,-4.738384332885702,0.44992880873279545,0,0.21333333333333335,-1,0.5592592592592592,0,0.2391304347826087,-4,0.4592074592074592,1,0.5965909090909091,-1,0.22413793103448276,-1,0.5782828282828283,1,0.2878787878787879
