"player_id","player_name","team_name","start_year","end_year","sb_attempts","catcher_stealing_runs","caught_stealing_above_average","n_cs","rate_cs","est_cs_pct","cs_aa_per_throw","seasonal_runner_speed","runner_distance_from_second","pop_time","exchange_time","arm_strength","n_xcs_with_flight_over_xcs","n_xcs_with_exchange_over_xcs","n_xcs_with_accuracy_over_xcs","n_xcs_with_ground_other_over_xcs","n_xcs_with_onfly_other_over_xcs","n_xcs_with_untracked_other_over_xcs"
506702,"León, Sandy","ATL",2026,2026,16,0.1455449106280181,0.2239152471200279,5,0.3125,0.29850529705499823,0.013994702945001715,"28.20625",55.709579664630425,"1.930133333","0.624","74.306272",-1.5290600996546078,0.7503788060768535,0.7531881165709524,-0.37007138804543527,0.6194798121722651,0
543877,"Vázquez, Christian","HOU",2026,2026,46,-1.4686033107259748,-2.2593897088091914,10,0.2173913043478261,0.2665084719306346,-0.0491171675828085,"28.432608696",55.0765200822353,"1.9494375","0.5985","75.720527188",-2.2904827371257355,0.6892686528343444,0.1032609861858603,-0.8319646289948222,0.6307808035256377,-0.5602527852344764
606992,"Haase, Eric","SF",2026,2026,21,-0.09203426758504346,-0.1415911809000674,4,0.19047619047619047,0.19721862766190795,-0.00674243718571748,"28.647619048",53.94063366442146,"1.896615385","0.678538462","81.085035385",0.4268502370534802,-0.7295349244335484,-0.2676441306673552,0.18401789017259967,0.24471974697475646,0
608348,"Kelly, Carson","CHC",2026,2026,38,-2.0589086814996818,-3.167551817691818,6,0.15789473684210534,0.2412513636234689,-0.08335662678136366,"28.673684211",56.04847851237247,"1.917657143","0.626228571","79.698289429",0.053155216388146534,1.25749707455769,-0.07032287038984474,-0.5253165153074701,-3.8825647229403395,0
620443,"Torrens, Luis","NYM",2026,2026,22,2.8333866868076485,4.3590564412425366,9,0.4090909090909091,0.21095197994352105,0.19813892914738804,"28.690909091",53.00213781517027,"1.776","0.602","81.114600667",0.45387366823717196,0.36663367565491933,0.5537712716092836,-0.14950783926295763,3.1342856650041195,0
641555,"Escarra, J.C.","NYY",2026,2026,17,0.4282574634316069,0.658857636048626,5,0.2941176470588236,0.2553613155265514,0.03875633153227211,"28.688235294",56.27025867297029,"1.886384615","0.607230769","78.520821538",-0.18595510312368524,0.5688962228419101,0.1334941869702219,0.28285367690169555,-0.1404313475415162,0
641680,"Heim, Jonah","ATH",2026,2026,28,-1.8006661428613875,-2.7702556044021356,4,0.14285714285714285,0.24179484301436208,-0.09893770015721913,"28.607142857",55.31032106997436,"1.911458333","0.699416667","80.297572917",0.2873733600359885,-1.5149168748373443,1.6614636792530475,-0.2606772826574972,-2.94349848619633,0
642851,"Wynns, Austin","ATL",2026,2026,17,-1.1227534257325755,-1.7273129626655008,2,0.11764705882352944,0.2192537036862059,-0.10160664486267651,"28.676470588",54.97887474393736,"1.928923077","0.609692308","74.755858462",-0.9765073272585612,0.6142866782967142,-0.033312361890460565,-0.25142845870148156,-1.0454234005357255,-0.03492809257598678
657136,"Wong, Connor","BOS",2026,2026,22,-1.3817446771048574,-2.1257610416997803,2,0.0909090909090909,0.1875345928045355,-0.09662550189544455,"28.440909091",55.05012610058253,"1.972733333","0.670533333","80.543541333",0.20070018549282756,-1.0114771731161458,-0.5400639544894636,-0.4077793224711413,-0.35045512902914044,-0.01668564808671678
661388,"Contreras, William","MIL",2026,2026,31,3.63434833155369,5.591305125467215,12,0.3870967741935485,0.20673209272686402,0.18036468146668433,"28.893548387",54.16691165763831,"1.890608696","0.603826087","79.188655652",-0.20638817498732898,0.7778772795266392,0.46934718617395343,0.6658831472391536,3.8845856875147966,0
663728,"Raleigh, Cal","SEA",2026,2026,23,-0.8346332429832257,-1.2840511430511163,5,0.21739130434782608,0.2732196149152659,-0.05582831056743986,"28.234782609",55.69600357802914,"1.999235294","0.660411765","79.08724",-0.23861452546772854,-0.49531958179834157,-0.5452698580550976,0.4463119824093321,-0.3142157711756564,-0.1369433889636244
663886,"Stephenson, Tyler","CIN",2026,2026,57,-1.215578040026233,-1.8701200615788203,10,0.17543859649122803,0.20824772037857578,-0.03280912388734771,"28.873684211",55.38057803469878,"1.942097561","0.689585366","79.365",-0.11925675661120926,-2.9561095561215978,0.18191467098964642,0.4420954908213879,0.6641303386885643,-0.08289424934561114
665966,"Narváez, Carlos","BOS",2026,2026,29,0.16966517488970928,0.2610233459841679,6,0.2068965517241379,0.19789574669020107,0.009000805033936833,"28.579310345",55.19352755541228,"1.952565217","0.615434783","73.452824783",-1.9272877762422385,1.102425078709755,-0.05433021889371201,0.7893438639186867,0.35087239849167695,0
668670,"Rogers, Jake","DET",2026,2026,22,0.2579376907314873,0.3968272165099809,5,0.22727272727272727,0.20923512652227358,0.018037600750453672,"28.190909091",53.47274964659788,"1.945","0.587090909","76.623165455",-0.7276343609419489,-0.13195821539690633,0.007833647172968486,0.11117884022787339,1.137420131481993,-0.000012826033998641722
671056,"Herrera, Iván","STL",2026,2026,20,-3.1879306998388657,-4.904508768982869,0,0,0.2452254384491434,-0.2452254384491434,"28.53",55.61902239551763,"1.994777778","0.649611111","77.388912778",-0.7245157349547199,-0.015863761596014075,-1.0045206295808977,-0.878330467004012,-2.281278175847225,0
672275,"Bailey, Patrick","CLE",2026,2026,37,1.63353867506475,2.513136423176538,13,0.3513513513513514,0.28342874531955303,0.06792260603179828,"28.137837838",56.22966055186341,"1.841433333","0.586233333","80.99583",0.6774618281161151,1.9345053469962066,0.5078668239171632,-0.2225752641289236,0.4487728459171084,-0.8328951576411319
673237,"Diaz, Yainer","HOU",2026,2026,34,-0.2128018869709079,-0.3273875184167807,7,0.20588235294117652,0.2155113976004935,-0.009629044659317071,"28.402941176",54.41959801857902,"1.95862963","0.692111111","83.476472593",1.9794574177797135,-1.4899635041615682,1.2466110334896112,-0.6459001581418129,-1.4175923073827246,0
676439,"Feduccia, Hunter","TB",2026,2026,29,-1.701537411202076,-2.6177498633878082,5,0.17241379310344826,0.2626810297719934,-0.09026723666854508,"28.268965517",55.572876445285694,"1.98773913","0.725347826","80.549594348",0.3250729947838058,-2.472161001008556,-1.1866861752245395,-0.10947750450031755,0.8255018225618,0
680777,"Jeffers, Ryan","MIN",2026,2026,20,-1.3696355713822725,-2.107131648280419,3,0.15,0.2553565824140209,-0.10535658241402095,"28.515",55.35490590075269,"1.936461538","0.655769231","79.829004615",0.006219982571080265,-1.2690979864804603,-0.314455322269488,-0.3489990701475618,-0.18079925195398938,0
682626,"Alvarez, Francisco","NYM",2026,2026,22,-0.8407279216882635,-1.2934275718280974,3,0.13636363636363638,0.19515579871945898,-0.05879216235582262,"28.168181818",54.165718440804234,"1.902785714","0.666071429","82.343382857",0.48692434241248106,-1.162893785478597,-0.1748380901407336,-0.7227645775521834,0.2824628127915453,-0.002318273860610096
682663,"Ramírez, Agustín","MIA",2026,2026,14,-0.5032833805215723,-0.7742821238793416,2,0.14285714285714285,0.1981630088485244,-0.055305865991381584,"28.192857143",54.06965466869654,"2.009125","0.7785","81.00183875",0.16033366500274243,-1.5851976457882644,0.1270208356259224,-0.28989187119612014,0.8134528924763781,0
686452,"Millas, Drew","WSH",2026,2026,21,-0.9059626089720278,-1.3937886291877344,4,0.19047619047619047,0.25684707758036834,-0.06637088710417782,"28.828571429",54.34999416639647,"1.8554","0.697","82.85441",0.8014977287544318,-1.2649078695042484,-1.3866135504612653,-0.47460694762090794,0.5328549833927134,0.3979870262515419
686780,"Pagés, Pedro","STL",2026,2026,39,2.0935639373592227,3.2208675959372655,14,0.358974358974359,0.2763880103605829,0.08258634861377606,"28.279487179",56.71712113774827,"1.910055556","0.637571429","81.180438",1.0118450770819085,0.970062014196371,0.9833563136713094,-0.5781261268202111,0.8337303178078876,0
686948,"Baldwin, Drake","ATL",2026,2026,24,-2.948599777446837,-4.536307349918211,1,0.04166666666666666,0.23067947291325874,-0.1890128062465921,"28.058333333",55.83369991162718,"1.919842105","0.595894737","77.258714737",-0.8161480076323964,0.5561909332163396,-0.765719173282565,-0.4490316317279423,-3.061599470491647,0
