"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Abreu, Wilyer","677800","2026","4","54.8","1.9","1.1","0.3","3.2","36.5","42","23"
"Acuña Jr., Ronald","660670","2026","-5","29.2","-2","-1.6","0.6","-3","30.6","24","7"
"Adell, Jo","666176","2026","-3","36.2","-0.7","-1.4","0.3","-1.7","31.9","47","17"
"Antonacci, Sam","803011","2026","-4","42.9","-0.3","-0.8","0.3","-0.8","32.8","35","15"
"Arozarena, Randy","668227","2026","-4","44.1","-1.9","-0.3","0.2","-1.9","31","34","15"
"Beavers, Dylan","687637","2026","-3","41.7","-0.6","-0.8","-0.6","-2","30.8","24","10"
"Bellinger, Cody","641355","2026","2","65.5","1.6","-0.1","0.6","2.1","35.3","29","19"
"Benge, Carson","701807","2026","0","41.5","0.7","0.8","-0.4","1.1","35.3","65","27"
"Bleday, JJ","668709","2026","-1","40.9","0.2","-0.7","0.8","0.2","34.3","22","9"
"Bolte, Henry","703607","2026","1","54.1","1.2","0.3","0","1.5","36.5","37","20"
"Butler, Lawrence","671732","2026","-5","25.9","-0.2","-0.2","0.1","-0.3","33.6","27","7"
"Buxton, Byron","621439","2026","2","57.7","-0.1","-1.7","0.7","-1.1","33.9","26","15"
"Caglianone, Jac","695506","2026","-3","37.5","-0.1","-1.1","0.3","-1","32.5","32","12"
"Caissie, Owen","683357","2026","-4","48.6","-0.2","0.2","0.5","0.5","33.6","35","17"
"Carpenter, Kerry","681481","2026","-5","25","0.1","-0.7","0.2","-0.4","32","24","6"
"Carrigg, Cole","694249","2026","4","66.7","1.8","0.5","0.4","2.6","37.2","24","16"
"Carroll, Corbin","682998","2026","8","61","0.9","1.6","-0.9","1.5","34.9","59","36"
"Carter, Evan","694497","2026","5","78.9","0.8","-0.2","0.2","0.8","35.9","38","30"
"Church, Nathan","701675","2026","4","60.6","0.7","0.3","0.4","1.4","35.7","33","20"
"Collins, Isaac","686555","2026","-4","27.5","0","1.4","-2","-0.6","33.3","40","11"
"Cowser, Colton","681297","2026","4","68.8","1.1","1.1","-1.3","0.9","35.2","32","22"
"Crawford, Justin","702222","2026","-2","35.7","-0.4","-2","0.5","-1.8","32.8","28","10"
"Crews, Dylan","686611","2026","4","64","1.4","1.2","0.1","2.7","36.6","25","16"
"Crow-Armstrong, Pete","691718","2026","16","83.3","3.1","2.1","0","5.1","39.8","54","45"
"Cruz, Oneil","665833","2026","0","44","-1","0.2","0.1","-0.8","34","25","11"
"DeLauter, Chase","800050","2026","-1","43.5","0.9","0.3","0.8","2","34.5","23","10"
"DeLuca, Jonny","676356","2026","3","57.7","1.3","1.5","-0.6","2.1","36.3","26","15"
"Dubón, Mauricio","643289","2026","1","61.9","0.3","-0.1","0.4","0.5","34.3","21","13"
"Dunn, Blake","694362","2026","2","65","1.3","-0.1","0.6","1.8","36","20","13"
"Duran, Jarren","680776","2026","5","59.4","1.1","-0.8","0.8","1.2","35.1","32","19"
"Ewing, A.J.","805999","2026","3","72.7","1.2","0.9","-0.6","1.4","35.8","22","16"
"Freeman, Tyler","671289","2026","-7","25","-0.8","-0.9","0.2","-1.5","31.9","24","6"
"Frelick, Sal","686217","2026","-2","40","-0.1","-0.7","-0.4","-1.2","32.4","40","16"
