"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Friedl, TJ","670770","2026","2","65.2","0","2.2","-0.7","1.4","35.8","23","15"
"Gilbert, Drew","687551","2026","1","50","1.3","1.8","-0.3","2.8","37.2","32","16"
"Greene, Riley","682985","2026","3","56.7","0.2","0.1","0.3","0.7","33.3","30","17"
"Grisham, Trent","663757","2026","0","45.8","0.6","2.9","-1.6","1.9","36.9","24","11"
"Happ, Ian","664023","2026","-3","31.4","-0.1","0.3","0.1","0.3","34.3","51","16"
"Harris II, Michael","671739","2026","7","78.4","1","2.1","-0.7","2.4","36.9","37","29"
"Hernández, Heriberto","681715","2026","1","50","1.3","0.5","-0.3","1.5","36.1","24","12"
"Hernández, Teoscar","606192","2026","-2","42.9","-1.2","-1.9","1.1","-2","31.6","21","9"
"Isbel, Kyle","664728","2026","4","60.7","1.5","2.3","-1.4","2.3","37.2","28","17"
"Johnston, Troy","687859","2026","-1","38.7","-1.9","4.7","-4.2","-1.4","31.7","31","12"
"Kwan, Steven","680757","2026","4","60","0.6","-0.9","1","0.7","35.2","40","24"
"Langford, Wyatt","694671","2026","1","45","2.4","1.7","0.3","4.4","38.6","20","9"
"Larnach, Trevor","663616","2026","-2","42.2","-2.2","-1.2","1","-2.4","31.3","45","19"
"Laureano, Ramón","657656","2026","1","45.8","0.7","0.3","0.5","1.5","35.1","24","11"
"Lee, Jung Hoo","808982","2026","-5","38.3","-0.5","0.2","0","-0.2","33.3","47","18"
"Lile, Daylen","695734","2026","0","40","0.6","-0.3","0.3","0.6","35.1","40","16"
"Lukes, Nathan","664770","2026","-1","44","-0.9","-0.3","0.5","-0.7","32.5","25","11"
"Mangum, Jake","663968","2026","0","46.9","0.8","-0.4","0.5","0.9","35.4","32","15"
"Marsee, Jakob","805300","2026","5","53.7","0.4","1.8","-1.1","1.1","35.3","41","22"
"Marsh, Brandon","669016","2026","-3","51.4","0","-1.1","0.5","-0.5","32.9","37","19"
"Martin, Austin","668885","2026","1","53.1","1","-0.5","0.6","1.1","34.9","32","17"
"Martínez, Angel","682657","2026","0","52","-0.1","0.3","0.6","0.8","34.1","25","13"
"Matthews, Brice","694728","2026","3","66.7","0.9","0.9","0.3","2.1","36.6","21","14"
"McCarthy, Jake","664983","2026","-1","35","0.8","2.3","-1.8","1.3","35.9","40","14"
"Merrill, Jackson","701538","2026","1","51.2","0.6","-0.1","0","0.5","35.1","41","21"
"Mitchell, Garrett","669003","2026","3","55.3","2.1","-0.3","0.3","2","36.9","38","21"
"Moniak, Mickey","666160","2026","-1","50","0.4","-0.1","0.5","0.8","33.7","22","11"
"Mullins, Cedric","656775","2026","5","61.9","-0.1","3","-1.8","1.1","35.9","42","26"
"Myers, Dane","667472","2026","0","50","1.3","1.6","-1.4","1.4","36.2","20","10"
"Nimmo, Brandon","607043","2026","-1","51.7","-0.6","-1","0.7","-1","34","29","15"
"O'Neill, Tyler","641933","2026","-2","38.5","-0.4","-0.9","0.7","-0.6","32.7","26","10"
"Osuna, Alejandro","696030","2026","-3","40.7","-0.8","-0.3","-0.2","-1.4","32.3","27","11"
"Pages, Andy","681624","2026","4","55","1.1","0.6","-0.2","1.5","36.1","60","33"
"Peters, Tristan","671976","2026","6","57.6","2.2","0.3","0.8","3.4","37.9","33","19"
"Rafaela, Ceddanne","678882","2026","11","70.8","1.5","2.4","-0.8","3.1","37.6","48","34"
"Raley, Luke","670042","2026","-6","10","-1.1","-0.8","0.3","-1.7","31.6","30","3"
"Ramos, Heliot","671218","2026","-4","27.3","1.1","1.3","-1.3","1","33.8","22","6"
"Reynolds, Bryan","668804","2026","-3","41.5","-1.2","-0.5","0.9","-0.8","32.9","41","17"
"Rodríguez, Julio","677594","2026","0","43.6","1.3","-1.1","0.5","0.7","35.3","39","17"
"Scott II, Victor","687363","2026","3","57.6","0.6","-0.6","0.7","0.6","35.2","33","19"
"Simpson, Chandler","802415","2026","7","63.3","1.2","5.2","-3.8","2.6","35.9","60","38"
"Smith, Cam","701358","2026","5","57.1","0.6","0.1","0.1","0.7","34.1","56","32"
"Soderstrom, Tyler","691016","2026","-4","40.4","0.1","-0.1","0.3","0.3","33.6","47","19"
"Soto, Juan","665742","2026","-3","28.6","-0.5","-0.4","0.4","-0.5","32.8","28","8"
"Steer, Spencer","668715","2026","-1","41.4","0","-0.2","0.1","-0.1","32.3","29","12"
"Straw, Myles","664702","2026","2","55","0.9","0.5","0","1.3","35.4","20","11"
"Suzuki, Seiya","673548","2026","3","50","1.6","2.2","-0.3","3.5","37.5","30","15"
"Sánchez, Jesús","660821","2026","-6","22.7","-0.9","-0.5","0.1","-1.3","31.6","22","5"
"Tatis Jr., Fernando","665487","2026","2","55","0.7","-1","0.8","0.4","34.2","20","11"
"Taveras, Leody","665750","2026","-5","34","-0.1","-0.1","-0.1","-0.3","33.7","47","16"
"Thomas, Lane","657041","2026","-5","37.5","-0.8","-2","0.9","-1.9","33","32","12"
"Trout, Mike","545361","2026","-3","43.8","0.1","-1.5","0.5","-0.9","33.8","32","14"
"Troy, Tommy","694371","2026","0","45","0.3","0.4","-0.6","0.2","33.6","20","9"
"Tucker, Kyle","663656","2026","-5","34.5","-1.2","-0.5","0.2","-1.6","31.9","29","10"
"Varsho, Daulton","662139","2026","4","60","0.4","0.3","0.1","0.8","34.9","40","24"
"Vierling, Matt","663837","2026","1","60","0.2","-1","0.5","-0.3","33.8","30","18"
"Waldschmidt, Ryan","814439","2026","2","63.6","-0.1","-0.1","-0.1","-0.3","34.2","22","14"
"Walker, Jordan","691023","2026","-7","36.7","-0.9","-1","0.5","-1.4","31.7","49","18"
"Wallner, Matt","670242","2026","-5","13.6","-3.9","-2.7","1.4","-5.3","27.6","22","3"
"Ward, Taylor","621493","2026","-2","36.4","-0.6","-0.3","0.5","-0.4","32.8","33","12"
"Wood, James","695578","2026","-1","36.6","-1","1.1","-1","-0.9","31.5","41","15"
"Yastrzemski, Mike","573262","2026","1","46.2","0","-0.3","0.1","-0.1","33.6","26","12"
"Young, Jacob","696285","2026","10","66.7","2.1","5.6","-3.4","4.3","38.6","45","30"
