"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Goldschmidt, Paul","502671","NA","3","First Baseman","256","256","0","0","0","0","0","0","0","0","70.5","66.1",,,,,,,,,"66.1"
"Freeman, Freddie","518692","NA","3","First Baseman","523","523","0","0","0","0","0","0","0","0","84","80.2",,,,,,,,,"80.2"
"Vargas, Ildemaro","545121","NA","3","First Baseman","344","193","142","3","6","0","0","0","151","0","79.7","74.8","72.6",,,,,,"76",,"76"
"Harper, Bryce","547180","NA","3","First Baseman","235","235","0","0","0","0","0","0","0","0","90.6","85.6",,,,,,,,,"85.6"
"Walker, Christian","572233","NA","3","First Baseman","299","299","0","0","0","0","0","0","0","0","72.5","72",,,,,,,,,"72"
"Contreras, Willson","575929","NA","3","First Baseman","434","434","0","0","0","0","0","0","0","0","85","83.4",,,,,,,,,"83.4"
"Olson, Matt","621566","NA","3","First Baseman","508","508","0","0","0","0","0","0","0","0","87.8","82.6",,,,,,,,,"82.6"
"Alonso, Pete","624413","NA","3","First Baseman","488","488","0","0","0","0","0","0","0","0","76.8","74.5",,,,,,,,,"74.5"
"Bauers, Jake","641343","NA","3","First Baseman","286","241","0","0","0","29","0","16","0","45","92.6","75.1",,,,,,,,,"75.1"
"Devers, Rafael","646240","NA","3","First Baseman","408","408","0","0","0","0","0","0","0","0","82.6","79.9",,,,,,,,,"79.9"
"Naylor, Josh","647304","NA","3","First Baseman","390","390","0","0","0","0","0","0","0","0","82.6","81.6",,,,,,,,,"81.6"
"Hoskins, Rhys","656555","NA","3","First Baseman","197","197","0","0","0","0","0","0","0","0","73","72.8",,,,,,,,,"72.8"
"Sheets, Gavin","657757","NA","3","First Baseman","224","179","0","0","0","45","0","0","0","45","93.1","76.6",,,,,,,,,"76.6"
"France, Ty","664034","NA","3","First Baseman","289","285","0","4","0","0","0","0","4","0","77.2","75.2",,,,,,,,,"75.2"
