"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Crow-Armstrong, Pete",691718,19.91752939102937,19.91752939102937,16.149647718572727,3.767881672456638,,,,,,2608,0,0,0,0,0,0,2608,0
"Wetherholt, JJ",802139,15.514983400383043,15.514983400383043,12.540852236695905,0.1946570918463174,2.779474071840826,,,,,2470,0,0,2398,0,72,0,0,0
"Witt Jr., Bobby",677951,14.251013506539124,14.251013506539124,13.774160536267772,0.23570462375826698,0.24114834651308198,,,,,2378,0,0,0,0,2378,0,0,0
"Rafaela, Ceddanne",678882,13.222442717312894,13.222442717312894,11.44993119972898,1.7725115175839152,,,,,,2422,0,0,0,0,0,0,2422,0
"Young, Jacob",696285,9.993245202827044,9.993245202827044,10.549607666257284,-0.5563624634302459,,,,,,2057,0,0,0,0,0,0,2057,0
"Pages, Andy",681624,9.963259491514716,9.963259491514716,4.8475236941663535,5.115735797348359,,,,,,2563,0,0,0,0,0,0,2563,0
"Rutschman, Adley",668939,9.448437598934555,,,,,9.448437598934555,5.4567427335732175,3.291440029833419,0.7002548355279178,1304,1304,0,0,0,0,0,0,0
"Valenzuela, Brandon",678218,9.127151290181493,-0.29764995216800094,-0.29764995216800094,,,9.424801242349494,8.126658254171382,1.649120017778479,-0.3509770296003667,1310,1301,9,0,0,0,0,0,0
"Giménez, Andrés",665926,8.959044048457404,8.959044048457404,8.450802301660392,-0.056620161595840324,0.5648619083928486,,,,,2252,0,0,0,0,2252,0,0,0
"Winn, Masyn",691026,8.854866668916104,8.854866668916104,6.125639221075497,-0.11971107557542808,2.848938523416031,,,,,2353,0,0,0,0,2353,0,0,0
"Hoerner, Nico",663538,8.756167118844516,8.756167118844516,7.412774610114898,0.058963202827098146,1.2844293059025231,,,,,2548,0,0,2347,0,201,0,0,0
"Rocchio, Brayan",677587,8.671098455665682,8.671098455665682,7.0459856660840465,1.1367183173983575,0.48839447218327653,,,,,2552,0,0,249,0,2303,0,0,0
"Dingler, Dillon",693307,8.56568371395878,,,,,8.56568371395878,6.080572923737508,0.15603637191471298,2.3290744183065546,1842,1842,0,0,0,0,0,0,0
"Turang, Brice",668930,8.539806601318634,8.539806601318634,5.783670672180195,0.032788926320530445,2.723347002817909,,,,,2510,0,0,2504,0,6,0,0,0
